datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,7.0,7.0,3.0,2.0,100.0,91.0,-2.3,1020.3,-20.7,0.0,WNW,3.1,Huairou
2013-03-01 01:00:00,4.0,4.0,3.0,1.829871635156571,100.0,92.0,-2.7,1020.8,-20.5,0.0,NNW,1.5,Huairou
2013-03-01 02:00:00,4.0,4.0,3.963856053909156,2.4922765453366047,100.0,91.0,-3.2,1020.6,-21.4,0.0,NW,1.8,Huairou
2013-03-01 03:00:00,3.0,3.0,3.0,2.0,199.8522300273085,88.40789795874986,-3.3,1021.3,-23.7,0.0,NNW,2.4,Huairou
2013-03-01 04:00:00,3.0,3.0,7.0,3.817086365696672,300.0,86.0,-4.1,1022.1,-22.7,0.0,NNW,2.2,Huairou
2013-03-01 05:00:00,4.0,4.0,3.0,3.0,200.0,85.0,-4.2,1022.3,-24.5,0.0,N,4.3,Huairou
2013-03-01 06:00:00,3.0,6.0,33.0,7.0,300.0,82.0,-5.9,1023.1,-21.9,0.0,WNW,0.6,Huairou
2013-03-01 07:00:00,3.0,10.0,13.0,13.0,400.0,71.0,-2.7,1024.3,-23.2,0.0,NNE,3.4,Huairou
2013-03-01 08:00:00,3.0,13.0,34.0,38.0,800.0,45.0,-1.6,1025.2,-23.5,0.0,NNE,4.6,Huairou
2013-03-01 09:00:00,17.0,36.0,50.0,28.0,700.0,60.0,-1.1,1025.4,-23.8,0.0,NE,4.9,Huairou
2013-03-01 10:00:00,19.0,32.0,5.0,3.0,300.0,85.0,1.0,1025.1,-23.6,0.0,ESE,2.7,Huairou
2013-03-01 11:00:00,10.0,11.0,3.0,3.344900401648763,300.0,87.0,2.4,1024.5,-22.5,0.0,SE,3.9,Huairou
2013-03-01 12:00:00,3.0,6.0,5.0,3.0,300.0,86.0,3.9,1023.8,-21.3,0.0,W,1.9,Huairou
2013-03-01 13:00:00,3.0,6.0,7.0,3.0,300.0,87.0,4.7,1022.8,-22.4,0.0,S,3.3,Huairou
2013-03-01 14:00:00,3.0,6.0,9.0,6.0,300.0,87.0,5.7,1022.3,-22.6,0.0,NW,1.9,Huairou
2013-03-01 15:00:00,3.0,3.0,4.0,3.0,200.0,89.0,5.4,1022.7,-22.8,0.0,NE,3.1,Huairou
2013-03-01 16:00:00,3.0,6.0,16.0,6.0,300.0,86.0,4.6,1022.7,-22.5,0.0,NE,3.2,Huairou
2013-03-01 17:00:00,4.0,10.0,13.0,12.0,300.0,80.0,3.4,1023.2,-21.7,0.0,N,2.8,Huairou
2013-03-01 18:00:00,4.0,12.0,10.0,15.0,300.0,76.0,1.2,1024.4,-21.2,0.0,ENE,1.4,Huairou
2013-03-01 19:00:00,9.0,18.0,24.0,22.0,500.0,68.0,0.8,1025.1,-20.9,0.0,NNE,2.3,Huairou
2013-03-01 20:00:00,20.0,24.0,22.0,24.0,500.0,65.0,0.7,1026.2,-20.4,0.0,NNE,4.4,Huairou
2013-03-01 21:00:00,23.0,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,0.0,NE,3.3,Huairou
2013-03-01 22:00:00,13.0,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,0.0,NE,3.7,Huairou
2013-03-01 23:00:00,13.0,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,0.0,NE,3.7,Huairou
2013-03-02 00:00:00,15.0,21.0,44.0,28.0,500.0,57.0,-1.8,1027.3,-19.3,0.0,NE,4.8,Huairou
2013-03-02 01:00:00,9.0,16.0,28.0,17.0,400.0,67.0,-2.1,1027.9,-19.1,0.0,ENE,2.6,Huairou
2013-03-02 02:00:00,11.0,13.0,40.0,16.0,300.0,67.0,-2.2,1027.4,-19.6,0.0,NE,3.9,Huairou
2013-03-02 03:00:00,8.0,15.0,27.0,17.0,400.0,64.0,-2.3,1027.1,-19.3,0.0,ENE,2.4,Huairou
2013-03-02 04:00:00,13.0,15.0,47.0,26.0,400.0,56.0,-3.4,1027.2,-18.1,0.0,W,0.6,Huairou
2013-03-02 05:00:00,15.0,18.0,42.2688,26.4837,400.07836523459486,56.1204,-4.2,1026.9,-16.4,0.0,WNW,1.4,Huairou
2013-03-02 06:00:00,12.0,17.0,21.0,11.0,400.0,63.0,-4.5,1025.8,-16.4,0.0,E,1.9,Huairou
2013-03-02 07:00:00,7.0,11.0,11.0,18.0,500.0,45.0,-4.0,1026.6,-14.2,0.0,E,1.2,Huairou
2013-03-02 08:00:00,14.0,11.0,61.0,44.0,600.0,28.0,-2.6,1026.6,-16.7,0.0,ENE,0.8,Huairou
2013-03-02 09:00:00,22.0,31.0,63.0,60.0,800.0,18.0,-1.2,1026.2,-16.2,0.0,S,0.9,Huairou
2013-03-02 10:00:00,31.0,49.0,48.0,33.0,500.0,43.0,-0.1,1025.8,-16.9,0.0,SSE,0.6,Huairou
2013-03-02 11:00:00,27.0,35.0,79.0,47.0,600.0,35.0,1.1,1025.5,-16.8,0.0,WSW,1.8,Huairou
2013-03-02 12:00:00,36.0,50.0,73.0,50.0,700.0,38.0,2.0,1024.3,-18.1,0.0,SW,1.2,Huairou
2013-03-02 13:00:00,31.0,47.0,41.0,39.0,500.0,48.0,2.2,1022.8,-17.9,0.0,S,1.1,Huairou
2013-03-02 14:00:00,28.0,37.0,25.0,34.0,400.0,54.0,2.3,1022.0,-17.3,0.0,SW,2.1,Huairou
2013-03-02 15:00:00,26.0,31.0,25.0,50.0,600.0,40.0,2.8,1021.3,-17.4,0.0,SW,1.8,Huairou
2013-03-02 16:00:00,29.0,41.0,27.0,60.0,700.0,30.0,2.2,1020.7,-16.8,0.0,SSW,1.4,Huairou
2013-03-02 17:00:00,36.0,52.0,44.0,81.0,800.0,16.0,1.2,1020.4,-15.8,0.0,W,0.9,Huairou
2013-03-02 18:00:00,44.0,67.0,42.0,91.0,1000.0,5.0,0.1,1020.4,-15.5,0.0,NW,1.0,Huairou
2013-03-02 19:00:00,53.0,70.0,36.0,100.0,1100.0,2.0,-1.3,1019.9,-12.6,0.0,W,1.0,Huairou
2013-03-02 20:00:00,52.0,71.0,42.0,100.0,1800.0,2.0,-1.6,1019.7,-13.5,0.0,W,1.1,Huairou
2013-03-02 21:00:00,97.0,103.0,34.0,88.0,1600.0,2.0,-1.8,1019.6,-12.5,0.0,WNW,1.2,Huairou
2013-03-02 22:00:00,89.0,89.0,30.0,83.0,1600.0,2.0,-1.8,1019.0,-13.3,0.0,WNW,0.7,Huairou
2013-03-02 23:00:00,80.0,83.0,30.0,77.0,1399.0,2.0,-2.8,1018.1,-10.1,0.0,WNW,1.4,Huairou
2013-03-03 00:00:00,62.0,70.0,22.0,66.0,1300.0,2.0,-2.9,1017.0,-11.9,0.0,WNW,0.0,Huairou
2013-03-03 01:00:00,51.0,63.0,20.0,52.0,1000.0,6.0,-3.8,1016.2,-12.7,0.0,NE,0.9,Huairou
2013-03-03 02:00:00,42.0,49.0,18.0,48.0,900.0,7.0,-4.6,1015.0,-11.2,0.0,N,0.8,Huairou
2013-03-03 03:00:00,40.0,45.0,19.0,52.0,1100.0,2.0,-5.5,1014.3,-11.2,0.0,WNW,1.5,Huairou
2013-03-03 04:00:00,44.0,51.0,16.0,45.0,1000.0,6.0,-6.1,1013.7,-12.0,0.0,WNW,1.3,Huairou
2013-03-03 05:00:00,45.0,49.0,12.0,45.0,1100.0,3.0,-6.9,1013.2,-12.6,0.0,NNW,0.4,Huairou
2013-03-03 06:00:00,55.0,58.0,12.0,44.0,1100.0,3.0,-7.2,1013.1,-12.3,0.0,NNE,0.8,Huairou
2013-03-03 07:00:00,47.0,57.0,12.0,43.0,1000.0,3.0,-5.6,1013.3,-11.3,0.0,WNW,1.5,Huairou
2013-03-03 08:00:00,58.0,59.0,17.0,41.0,1100.0,8.0,-0.4,1012.8,-11.8,0.0,N,0.5,Huairou
2013-03-03 09:00:00,64.0,68.0,83.0,55.0,1300.0,10.0,2.4,1012.5,-12.7,0.0,ESE,2.0,Huairou
2013-03-03 10:00:00,77.0,97.0,133.0,74.0,1500.0,16.0,5.2,1011.7,-12.8,0.0,NW,0.9,Huairou
2013-03-03 11:00:00,96.0,127.0,83.0,62.0,1200.0,33.0,7.6,1010.4,-12.8,0.0,E,2.1,Huairou
2013-03-03 12:00:00,95.0,112.0,87.0,61.0,1200.0,43.0,10.1,1009.4,-12.5,0.0,ESE,3.0,Huairou
2013-03-03 13:00:00,94.0,115.0,75.0,57.0,1100.0,52.0,11.5,1008.1,-12.8,0.0,E,2.1,Huairou
2013-03-03 14:00:00,103.0,128.0,66.0,51.0,1000.0,55.0,13.2,1007.4,-12.9,0.0,ESE,3.0,Huairou
2013-03-03 15:00:00,103.0,140.0,64.0,65.0,1000.0,54.0,15.3,1007.1,-14.0,0.0,NW,4.4,Huairou
2013-03-03 16:00:00,98.0,151.0,63.0,63.0,900.0,54.0,15.1,1007.3,-14.2,0.0,W,4.9,Huairou
2013-03-03 17:00:00,82.0,154.0,9.0,19.0,200.0,78.0,13.1,1007.9,-13.9,0.0,N,1.9,Huairou
2013-03-03 18:00:00,22.0,70.0,5.0,14.0,200.0,77.0,8.8,1009.2,-12.4,0.0,WNW,2.7,Huairou
2013-03-03 19:00:00,12.0,40.0,18.0,25.0,500.0,41.0,9.4,1010.0,-12.5,0.0,WNW,3.1,Huairou
2013-03-03 20:00:00,18.0,60.0,12.0,29.0,500.0,40.0,7.3,1010.1,-12.5,0.0,SSW,0.9,Huairou
2013-03-03 21:00:00,18.0,52.0,10.0,38.59229718106847,300.0,52.0,4.7,1010.5,-12.3,0.0,WSW,0.0,Huairou
2013-03-03 22:00:00,17.0,44.0,34.0,47.0,1200.0,4.0,3.3,1011.3,-10.7,0.0,WNW,1.2,Huairou
2013-03-03 23:00:00,40.0,79.0,29.0,47.0,1000.0,19.0,9.9,1011.8,-13.4,0.0,WNW,2.6,Huairou
2013-03-04 00:00:00,38.0,68.0,27.0,34.0,700.0,33.0,7.2,1012.8,-13.1,0.0,E,0.7,Huairou
2013-03-04 01:00:00,28.0,51.0,11.0,6.0,100.0,75.0,5.9,1013.7,-13.2,0.0,SW,1.6,Huairou
2013-03-04 02:00:00,9.0,24.0,16.0,10.0,100.0,74.0,4.7,1013.9,-13.2,0.0,NW,5.3,Huairou
2013-03-04 03:00:00,13.0,26.0,13.0,8.0,200.0,73.0,7.2,1014.0,-15.6,0.0,NNW,3.5,Huairou
2013-03-04 04:00:00,6.0,14.0,21.0,12.0,100.0,74.0,4.0,1014.0,-14.3,0.0,SSE,1.4,Huairou
2013-03-04 05:00:00,8.0,26.0,29.0,31.0,400.0,43.0,1.8,1014.7,-13.2,0.0,SW,2.0,Huairou
2013-03-04 06:00:00,14.0,30.0,31.0,38.0,500.0,35.0,0.0,1016.0,-13.3,0.0,SSW,0.2,Huairou
2013-03-04 07:00:00,13.0,38.0,40.0,55.0,600.0,16.0,2.4,1017.0,-11.9,0.0,E,0.5,Huairou
2013-03-04 08:00:00,14.0,42.0,60.0,92.0,3299.0,2.0,7.1,1017.6,-12.2,0.0,SE,1.7,Huairou
2013-03-04 09:00:00,47.0,117.0,64.0,49.0,500.0,38.0,8.6,1017.8,-13.8,0.0,SE,1.9,Huairou
2013-03-04 10:00:00,26.0,48.0,34.0,22.0,200.0,66.0,10.1,1017.2,-13.9,0.0,E,2.2,Huairou
