datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,6.0,6.0,4.0,8.0,300.0,81.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Tiantan
2013-03-01 01:00:00,6.0,29.0,5.0,9.0,300.0,80.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Tiantan
2013-03-01 02:00:00,6.0,6.0,4.0,12.0,300.0,75.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,Tiantan
2013-03-01 03:00:00,6.0,6.0,4.0,12.0,300.0,74.0,-1.4,1026.2,-25.5,0.0,N,4.9,Tiantan
2013-03-01 04:00:00,5.0,5.0,7.0,15.0,400.0,70.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,Tiantan
2013-03-01 05:00:00,10.0,10.0,12.0,15.0,400.0,70.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Tiantan
2013-03-01 06:00:00,8.0,19.0,12.0,14.0,400.0,72.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Tiantan
2013-03-01 07:00:00,7.0,7.0,12.0,19.0,400.0,67.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Tiantan
2013-03-01 08:00:00,3.0,6.0,14.0,29.0,500.0,56.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Tiantan
2013-03-01 09:00:00,8.0,2.0,11.0,22.0,500.0,65.0,0.4,1030.5,-23.3,0.0,N,5.5,Tiantan
2013-03-01 10:00:00,9.0,9.0,8.0,17.0,400.0,72.0,1.4,1030.2,-22.5,0.0,N,5.2,Tiantan
2013-03-01 11:00:00,9.0,23.0,8.0,16.0,400.0,75.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Tiantan
2013-03-01 12:00:00,9.0,19.0,7.0,16.0,400.0,76.0,4.0,1028.6,-21.2,0.0,W,4.6,Tiantan
2013-03-01 13:00:00,10.0,34.0,7.0,12.0,400.0,81.0,5.0,1027.8,-21.2,0.0,NW,4.5,Tiantan
2013-03-01 14:00:00,10.0,19.0,6.0,12.0,400.0,83.0,6.2,1027.6,-22.2,0.0,NW,4.0,Tiantan
2013-03-01 15:00:00,3.0,6.0,6.0,15.0,400.0,81.0,6.0,1027.7,-21.3,0.0,NNW,2.1,Tiantan
2013-03-01 16:00:00,8.0,22.0,7.0,14.0,300.0,82.0,5.6,1027.7,-20.7,0.0,N,1.8,Tiantan
2013-03-01 17:00:00,10.0,28.0,9.0,21.0,400.0,75.0,4.4,1028.2,-20.9,0.0,N,3.5,Tiantan
2013-03-01 18:00:00,11.0,21.0,10.0,28.0,500.0,66.0,3.2,1029.4,-20.3,0.0,NNW,0.5,Tiantan
2013-03-01 19:00:00,12.0,4.0,7.0,39.0,600.0,53.0,3.0,1030.1,-19.7,0.0,N,1.1,Tiantan
2013-03-01 20:00:00,12.0,16.0,8.0,30.0,500.0,60.0,1.6,1031.3,-19.0,0.0,ENE,1.2,Tiantan
2013-03-01 21:00:00,12.0,17.0,13.0,43.0,700.0,44.0,0.8,1032.4,-19.7,0.0,NE,1.0,Tiantan
2013-03-01 22:00:00,12.0,16.0,15.0,48.0,800.0,39.0,0.1,1032.9,-19.2,0.0,ENE,1.8,Tiantan
2013-03-01 23:00:00,15.0,17.0,17.0,52.0,800.0,37.0,-0.5,1032.8,-19.7,0.0,NE,2.1,Tiantan
2013-03-02 00:00:00,16.0,17.0,10.0,33.0,500.0,56.0,-0.7,1033.0,-18.3,0.0,E,0.6,Tiantan
2013-03-02 01:00:00,3.0,10.0,10.0,27.0,500.0,60.0,-1.6,1033.2,-17.4,0.0,ENE,0.0,Tiantan
2013-03-02 02:00:00,4.0,8.0,7.9239360169686135,25.0,400.0,57.0,-2.2,1032.9,-16.7,0.0,N,0.0,Tiantan
2013-03-02 03:00:00,9.0,10.0,8.0,26.0,449.969784085165,83.0,-3.1,1032.6,-15.8,0.0,N,0.0,Tiantan
2013-03-02 04:00:00,3.0,8.0,7.0,25.74072781178475,500.0,54.0,-3.1,1032.7,-16.1,0.0,N,0.0,Tiantan
2013-03-02 05:00:00,6.0,10.0,10.0,26.0,400.0,37.0,-2.4,1032.1,-18.1,0.0,NNE,0.8,Tiantan
2013-03-02 06:00:00,5.0,8.0,11.0,37.0,500.0,29.0,-2.3,1031.3,-18.4,0.0,N,1.5,Tiantan
2013-03-02 07:00:00,3.0,6.0,15.0,61.0,700.0,13.0,-1.9,1031.9,-18.5,0.0,N,1.4,Tiantan
2013-03-02 08:00:00,12.0,15.0,15.0,54.0,700.0,22.0,-0.9,1031.7,-18.0,0.0,NNE,1.6,Tiantan
2013-03-02 09:00:00,13.0,20.0,19.0,60.0,700.0,18.0,0.1,1031.7,-18.1,0.0,NE,0.5,Tiantan
2013-03-02 10:00:00,18.0,23.0,22.0,60.0,700.0,20.0,1.5,1031.2,-18.0,0.0,ENE,0.6,Tiantan
2013-03-02 11:00:00,16.0,22.0,21.0,64.0,900.0,17.0,2.6,1030.2,-18.2,0.0,SW,3.1,Tiantan
2013-03-02 12:00:00,26.0,34.0,26.0,58.0,900.0,27.0,3.8,1029.0,-17.8,0.0,SSW,1.1,Tiantan
2013-03-02 13:00:00,27.0,34.0,24.0,44.0,700.0,44.0,3.8,1027.6,-17.8,0.0,S,1.0,Tiantan
2013-03-02 14:00:00,35.0,40.0,24.0,35.0,800.0,53.0,3.9,1026.8,-18.3,0.0,SSW,0.4,Tiantan
2013-03-02 15:00:00,35.0,38.0,48.0,45.0,1200.0,48.0,4.3,1026.2,-18.0,0.0,SSW,1.5,Tiantan
2013-03-02 16:00:00,48.0,58.0,52.0,49.0,1100.0,43.0,4.1,1025.4,-16.9,0.0,SSW,1.9,Tiantan
2013-03-02 17:00:00,56.0,64.0,49.0,46.0,1000.0,47.0,3.2,1025.3,-16.0,0.0,WSW,1.3,Tiantan
2013-03-02 18:00:00,49.0,52.0,52.0,51.0,1100.0,39.0,2.2,1025.4,-15.8,0.0,NE,0.4,Tiantan
2013-03-02 19:00:00,64.0,70.0,43.0,55.0,1100.0,26.0,1.6,1025.0,-15.4,0.0,N,0.1,Tiantan
2013-03-02 20:00:00,63.0,75.0,44.0,72.0,1300.0,10.0,0.7,1025.0,-15.3,0.0,N,1.0,Tiantan
2013-03-02 21:00:00,73.0,82.0,40.0,78.0,1600.0,4.0,0.5,1024.8,-15.1,0.0,N,0.2,Tiantan
2013-03-02 22:00:00,79.0,79.0,36.0,76.0,2000.0,6.0,-1.0,1024.2,-14.6,0.0,ENE,0.0,Tiantan
2013-03-02 23:00:00,98.0,106.0,39.0,79.0,2200.0,4.0,-1.3,1023.2,-14.5,0.0,N,0.0,Tiantan
2013-03-03 00:00:00,84.0,97.0,39.0,80.0,2299.0,4.0,-2.2,1022.3,-12.8,0.0,N,0.0,Tiantan
2013-03-03 01:00:00,85.0,93.0,54.0,83.0,2500.0,6.0,-1.8,1021.4,-13.3,0.0,W,0.7,Tiantan
2013-03-03 02:00:00,110.0,119.0,68.0,87.0,2200.0,6.0,-2.4,1020.4,-13.3,0.0,E,1.3,Tiantan
2013-03-03 03:00:00,112.0,119.0,89.0,86.0,2200.0,5.0,-3.3,1019.4,-12.5,0.0,ESE,1.2,Tiantan
2013-03-03 04:00:00,113.0,123.0,82.0,83.0,2200.0,4.0,-4.2,1019.0,-12.6,0.0,E,0.1,Tiantan
2013-03-03 05:00:00,84.0,104.0,37.0,72.0,2100.0,4.0,-5.2,1018.5,-11.6,0.0,NE,0.9,Tiantan
2013-03-03 06:00:00,77.0,86.0,27.0,69.0,2200.0,4.0,-5.4,1018.3,-11.3,0.0,ENE,0.0,Tiantan
2013-03-03 07:00:00,73.0,78.0,21.0,67.0,2600.0,5.0,-3.3,1018.6,-9.8,0.0,N,0.1,Tiantan
2013-03-03 08:00:00,74.0,81.0,41.0,70.0,2799.0,6.0,1.2,1018.1,-13.7,0.0,N,0.8,Tiantan
2013-03-03 09:00:00,90.0,108.0,100.0,82.0,2200.0,8.0,4.0,1017.6,-13.4,0.0,SE,0.6,Tiantan
2013-03-03 10:00:00,96.0,97.0,103.0,90.0,2399.0,8.0,6.8,1016.7,-13.5,0.0,SSW,1.1,Tiantan
2013-03-03 11:00:00,96.0,106.0,101.0,100.0,2700.0,10.0,9.5,1015.6,-13.7,0.0,W,0.5,Tiantan
2013-03-03 12:00:00,105.0,127.0,91.0,110.0,2700.0,11.0,13.4,1014.4,-13.6,0.0,WNW,1.8,Tiantan
2013-03-03 13:00:00,114.0,124.0,56.0,97.0,2100.0,21.0,15.5,1013.0,-13.8,0.0,NW,4.0,Tiantan
2013-03-03 14:00:00,92.0,96.0,46.0,92.0,1700.0,35.0,16.4,1012.4,-15.4,0.0,W,7.0,Tiantan
2013-03-03 15:00:00,102.0,137.0,44.0,65.0,1300.0,64.0,16.6,1012.0,-15.2,0.0,WNW,4.7,Tiantan
2013-03-03 16:00:00,98.0,144.0,28.0,47.0,900.0,70.0,15.8,1012.2,-14.7,0.0,ENE,1.3,Tiantan
2013-03-03 17:00:00,77.0,130.0,33.0,57.0,1100.0,63.0,12.6,1013.0,-13.4,0.0,SSW,1.3,Tiantan
2013-03-03 18:00:00,84.0,139.0,60.0,90.0,1600.0,38.0,9.9,1014.1,-10.3,0.0,WNW,1.0,Tiantan
2013-03-03 19:00:00,128.0,207.0,61.0,109.0,1899.0,12.0,6.8,1014.9,-9.6,0.0,W,0.0,Tiantan
2013-03-03 20:00:00,141.0,205.0,54.0,104.0,2000.0,7.0,5.2,1015.2,-8.3,0.0,W,0.0,Tiantan
2013-03-03 21:00:00,142.0,186.0,42.0,98.0,1899.0,6.0,4.0,1015.4,-9.1,0.0,N,0.2,Tiantan
2013-03-03 22:00:00,107.0,110.0,30.0,76.0,1500.0,5.0,2.7,1015.8,-8.4,0.0,WNW,0.4,Tiantan
2013-03-03 23:00:00,69.0,96.0,28.0,77.0,1600.0,4.0,7.1,1016.7,-12.2,0.0,N,0.4,Tiantan
2013-03-04 00:00:00,44.0,50.0,35.0,84.0,4200.0,8.0,9.9,1017.5,-14.1,0.0,N,4.9,Tiantan
2013-03-04 01:00:00,52.0,79.0,29.0,62.0,1300.0,15.0,9.3,1018.4,-13.9,0.0,NNW,3.6,Tiantan
2013-03-04 02:00:00,11.0,20.0,6.0,17.0,500.0,62.0,8.4,1018.7,-13.9,0.0,N,1.5,Tiantan
2013-03-04 03:00:00,13.0,40.0,3.0,10.0,400.0,74.0,7.4,1018.6,-14.2,0.0,N,3.6,Tiantan
2013-03-04 04:00:00,6.0,30.0,8.0,22.0,500.0,57.0,6.2,1019.6,-15.2,0.0,NNW,2.7,Tiantan
2013-03-04 05:00:00,7.0,22.0,15.0,39.0,700.0,34.0,6.0,1020.1,-14.2,0.0,NW,2.4,Tiantan
2013-03-04 06:00:00,9.0,36.0,22.0,49.0,700.0,25.0,4.2,1020.8,-12.7,0.0,NW,2.0,Tiantan
