datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,9.0,9.0,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,0.0,WNW,2.0,Wanshouxigong
2013-03-01 01:00:00,11.0,11.0,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,0.0,WNW,4.4,Wanshouxigong
2013-03-01 02:00:00,8.0,8.0,4.693190466395642,16.0,200.0,59.0,-0.6,1022.6,-19.7,0.0,WNW,4.7,Wanshouxigong
2013-03-01 03:00:00,8.0,8.0,3.0,16.0,249.8794494847954,47.77759831626153,-0.7,1023.5,-20.9,0.0,NW,2.6,Wanshouxigong
2013-03-01 04:00:00,8.0,8.0,3.0,11.849494237155772,300.0,36.0,-0.9,1024.1,-21.7,0.0,WNW,2.5,Wanshouxigong
2013-03-01 05:00:00,10.0,10.0,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,0.0,NE,2.0,Wanshouxigong
2013-03-01 06:00:00,8.0,8.0,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,0.0,NE,2.3,Wanshouxigong
2013-03-01 07:00:00,8.0,8.0,8.0,20.0,300.0,54.0,-0.8,1026.7,-19.9,0.0,NNE,2.0,Wanshouxigong
2013-03-01 08:00:00,3.0,6.0,9.0,23.0,300.0,50.0,0.4,1027.3,-19.4,0.0,NE,2.7,Wanshouxigong
2013-03-01 09:00:00,3.0,6.0,10.0,18.0,300.0,56.0,1.5,1027.4,-19.7,0.0,ENE,2.9,Wanshouxigong
2013-03-01 10:00:00,3.0,6.0,11.0,15.0,300.0,61.0,2.1,1027.3,-21.2,0.0,NNE,4.8,Wanshouxigong
2013-03-01 11:00:00,3.0,6.0,9.0,14.0,300.0,62.0,3.1,1027.2,-21.1,0.0,N,4.1,Wanshouxigong
2013-03-01 12:00:00,3.0,6.0,8.0,10.0,300.0,67.0,4.7,1026.3,-20.6,0.0,ESE,1.6,Wanshouxigong
2013-03-01 13:00:00,3.0,9.0,7.0,9.0,300.0,70.0,5.5,1025.2,-20.0,0.0,NE,3.1,Wanshouxigong
2013-03-01 14:00:00,3.0,14.0,7.0,8.0,300.0,72.0,6.6,1024.9,-19.9,0.0,NW,2.1,Wanshouxigong
2013-03-01 15:00:00,12.0,14.0,5.0,7.0,200.0,73.0,6.1,1024.7,-19.5,0.0,NE,2.4,Wanshouxigong
2013-03-01 16:00:00,11.0,17.0,7.0,9.0,300.0,72.0,5.9,1024.7,-18.8,0.0,N,3.3,Wanshouxigong
2013-03-01 17:00:00,13.0,18.0,8.0,14.0,300.0,67.0,5.3,1025.3,-19.3,0.0,NNW,2.0,Wanshouxigong
2013-03-01 18:00:00,10.0,18.0,9.0,20.0,400.0,58.0,4.1,1026.4,-19.5,0.0,NNE,2.2,Wanshouxigong
2013-03-01 19:00:00,10.0,16.0,7.0,29.0,500.0,50.0,3.2,1027.2,-18.9,0.0,NE,2.1,Wanshouxigong
2013-03-01 20:00:00,11.0,12.0,6.0,29.0,500.0,47.0,2.6,1028.2,-18.8,0.0,NE,1.9,Wanshouxigong
2013-03-01 21:00:00,10.0,12.0,6.0,31.0,500.0,44.0,2.2,1029.2,-17.9,0.0,ENE,1.1,Wanshouxigong
2013-03-01 22:00:00,10.0,13.0,11.0,39.0,500.0,34.0,2.0,1029.5,-18.1,0.0,ENE,2.0,Wanshouxigong
2013-03-01 23:00:00,15.0,15.0,14.0,41.0,500.0,31.0,1.0,1029.6,-18.4,0.0,ENE,1.8,Wanshouxigong
2013-03-02 00:00:00,5.0,10.0,11.0,35.0,400.0,39.0,0.5,1030.2,-18.3,0.0,ENE,1.4,Wanshouxigong
2013-03-02 01:00:00,3.0,8.0,9.0,33.0,400.0,40.0,-0.3,1030.2,-17.5,0.0,E,1.0,Wanshouxigong
2013-03-02 02:00:00,3.0,6.0,9.0,29.0,300.0,44.0,-1.2,1029.6,-17.0,0.0,E,0.8,Wanshouxigong
2013-03-02 03:00:00,3.0,6.0,9.0,29.0,400.0,43.0,-2.9,1029.7,-14.9,0.0,N,0.1,Wanshouxigong
2013-03-02 04:00:00,3.0,6.0,8.0,30.0,400.0,41.0,-2.4,1029.8,-15.5,0.0,N,0.2,Wanshouxigong
2013-03-02 05:00:00,8.0,8.0,6.0,15.0,300.0,57.0,-1.2,1029.2,-17.9,0.0,NNE,1.0,Wanshouxigong
2013-03-02 06:00:00,8.0,8.0,10.0,31.0,400.0,37.0,-1.2,1028.5,-17.9,0.0,WNW,1.5,Wanshouxigong
2013-03-02 07:00:00,3.0,6.0,16.0,61.0,600.0,8.0,-1.1,1029.2,-16.1,0.0,WSW,1.2,Wanshouxigong
2013-03-02 08:00:00,4.0,7.0,17.0,53.0,500.0,17.0,0.0,1028.8,-16.8,0.0,W,1.3,Wanshouxigong
2013-03-02 09:00:00,4.0,11.0,17.0,50.0,500.0,23.0,1.1,1028.9,-16.8,0.0,SW,1.0,Wanshouxigong
2013-03-02 10:00:00,5.0,14.0,22.0,52.0,600.0,20.0,1.9,1028.4,-17.1,0.0,SW,2.0,Wanshouxigong
2013-03-02 11:00:00,13.0,18.0,20.0,61.0,1000.0,15.0,2.5,1027.5,-17.7,0.0,SW,2.1,Wanshouxigong
2013-03-02 12:00:00,17.0,25.0,19.0,47.0,700.0,29.0,3.3,1026.2,-17.6,0.0,SSW,1.8,Wanshouxigong
2013-03-02 13:00:00,24.0,28.0,18.0,35.0,600.0,43.0,4.2,1024.8,-16.8,0.0,SE,1.0,Wanshouxigong
2013-03-02 14:00:00,18.0,27.0,23.0,36.0,800.0,44.0,4.1,1024.1,-16.3,0.0,SSW,1.3,Wanshouxigong
2013-03-02 15:00:00,34.0,37.0,44.0,43.0,1100.0,40.0,3.9,1023.5,-15.9,0.0,SSW,1.9,Wanshouxigong
2013-03-02 16:00:00,42.0,56.0,46.0,44.0,1100.0,38.0,3.8,1022.8,-15.0,0.0,SSW,1.0,Wanshouxigong
2013-03-02 17:00:00,56.0,68.0,48.0,46.0,1100.0,37.0,3.1,1022.7,-14.1,0.0,S,1.1,Wanshouxigong
2013-03-02 18:00:00,56.0,80.0,51.0,52.0,1100.0,31.0,2.6,1022.5,-13.7,0.0,S,1.3,Wanshouxigong
2013-03-02 19:00:00,64.0,88.0,53.0,67.0,1300.0,14.0,0.6,1022.2,-12.8,0.0,SSW,0.5,Wanshouxigong
2013-03-02 20:00:00,72.0,96.0,63.0,83.0,1600.0,2.0,-0.2,1022.3,-11.0,0.0,W,1.1,Wanshouxigong
2013-03-02 21:00:00,88.0,118.0,72.0,91.0,1800.0,2.0,-0.1,1021.8,-10.9,0.0,N,0.2,Wanshouxigong
2013-03-02 22:00:00,101.0,125.0,82.0,93.0,2000.0,2.0,-2.4,1021.3,-11.7,0.0,SSW,0.6,Wanshouxigong
2013-03-02 23:00:00,108.0,127.0,70.0,92.0,2100.0,2.0,-2.3,1020.3,-12.1,0.0,N,0.1,Wanshouxigong
2013-03-03 00:00:00,101.0,108.0,56.0,92.0,2100.0,2.0,-0.6,1019.4,-14.2,0.0,NE,1.3,Wanshouxigong
2013-03-03 01:00:00,77.0,93.0,62.0,94.0,2299.0,2.0,-0.1,1018.7,-14.5,0.0,NNE,1.4,Wanshouxigong
2013-03-03 02:00:00,97.0,109.0,68.0,92.0,2600.0,2.0,-2.8,1017.3,-13.4,0.0,W,0.6,Wanshouxigong
2013-03-03 03:00:00,107.0,120.0,75.0,89.0,2700.0,2.0,-4.4,1016.6,-11.7,0.0,SSW,0.4,Wanshouxigong
2013-03-03 04:00:00,107.0,118.0,76.0,89.0,2799.0,2.0,-5.1,1015.9,-11.5,0.0,WSW,0.7,Wanshouxigong
2013-03-03 05:00:00,104.0,109.0,65.0,86.0,2000.0,2.0,-5.3,1015.7,-11.2,0.0,WSW,1.0,Wanshouxigong
2013-03-03 06:00:00,87.0,94.0,60.0,86.0,2000.0,2.0,-5.8,1015.6,-11.1,0.0,W,1.0,Wanshouxigong
2013-03-03 07:00:00,86.0,95.0,69.0,86.0,2000.0,2.0,-3.2,1015.8,-10.3,0.0,NNW,0.6,Wanshouxigong
2013-03-03 08:00:00,84.0,101.0,73.0,86.0,2399.0,2.0,1.7,1015.1,-12.5,0.0,ESE,0.6,Wanshouxigong
2013-03-03 09:00:00,88.0,119.0,83.0,91.0,2799.0,2.0,3.8,1015.0,-12.6,0.0,N,0.5,Wanshouxigong
2013-03-03 10:00:00,91.0,127.0,84.0,95.0,2600.0,2.0,7.2,1014.1,-12.1,0.0,SSW,0.8,Wanshouxigong
2013-03-03 11:00:00,93.0,129.0,88.0,102.0,2600.0,4.0,11.1,1012.8,-11.7,0.0,SSW,2.3,Wanshouxigong
2013-03-03 12:00:00,101.0,143.0,79.0,115.0,3000.0,6.0,12.7,1011.9,-12.5,0.0,S,1.9,Wanshouxigong
2013-03-03 13:00:00,110.0,152.0,54.0,92.0,2000.0,18.0,13.7,1010.6,-11.7,0.0,S,2.3,Wanshouxigong
2013-03-03 14:00:00,92.0,143.0,52.0,86.0,1800.0,35.0,14.7,1010.2,-12.6,0.0,SW,2.3,Wanshouxigong
2013-03-03 15:00:00,114.0,169.0,43.0,58.0,1300.0,55.0,15.0,1009.6,-12.3,0.0,WSW,2.8,Wanshouxigong
2013-03-03 16:00:00,95.0,146.0,29.0,46.0,1000.0,60.0,13.6,1009.8,-9.6,0.0,WSW,3.2,Wanshouxigong
2013-03-03 17:00:00,77.0,130.0,36.0,57.0,1000.0,50.0,11.6,1010.4,-8.9,0.0,WSW,1.5,Wanshouxigong
2013-03-03 18:00:00,84.0,159.0,65.0,102.0,1600.0,16.0,8.6,1011.4,-8.0,0.0,WNW,1.3,Wanshouxigong
2013-03-03 19:00:00,123.0,225.0,66.0,116.0,1800.0,2.0,9.6,1012.4,-12.3,0.0,WNW,2.9,Wanshouxigong
2013-03-03 20:00:00,150.0,242.0,69.0,120.0,2200.0,2.0,12.1,1012.6,-13.0,0.0,W,0.8,Wanshouxigong
