datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,4.0,4.0,3.0,,200.0,82.0,-2.3,1020.8,-19.7,0.0,E,0.5,Dingling
2013-03-01 01:00:00,7.0,7.0,3.0,,200.0,80.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,Dingling
2013-03-01 02:00:00,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,Dingling
2013-03-01 03:00:00,6.0,6.0,3.0,2.7095499599584976,200.0,79.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,Dingling
2013-03-01 04:00:00,5.0,5.0,3.0,2.8740962478560608,200.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,Dingling
2013-03-01 05:00:00,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,Dingling
2013-03-01 06:00:00,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,Dingling
2013-03-01 07:00:00,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,NW,2.5,Dingling
2013-03-01 08:00:00,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,Dingling
2013-03-01 09:00:00,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,NNW,3.8,Dingling
2013-03-01 10:00:00,8.0,4.892972165766198,3.0,2.0224473697194947,200.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,Dingling
2013-03-01 11:00:00,3.0,2.0,3.0,2.0511267982221666,200.0,83.0,3.6,1024.8,-20.7,0.0,NNE,2.7,Dingling
2013-03-01 12:00:00,6.0,4.410355707325952,3.0,2.0798062267248385,200.0,85.0,4.8,1023.8,-19.7,0.0,N,3.0,Dingling
2013-03-01 13:00:00,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,NE,4.4,Dingling
