datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,9.0,9.0,3.0,17.0,300.0,89.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Dongsi
2013-03-01 01:00:00,4.0,4.0,3.0,16.0,300.0,88.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Dongsi
2013-03-01 02:00:00,7.0,7.0,4.806311952850138,17.0,300.0,60.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,Dongsi
2013-03-01 03:00:00,3.0,3.0,5.0,18.0,250.0396723178161,72.59445729521319,-1.4,1026.2,-25.5,0.0,N,4.9,Dongsi
2013-03-01 04:00:00,3.0,3.0,7.0,21.382669939698072,200.0,84.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,Dongsi
2013-03-01 05:00:00,4.0,4.0,9.0,25.0,300.0,78.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Dongsi
2013-03-01 06:00:00,5.0,5.0,10.0,29.0,400.0,67.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Dongsi
2013-03-01 07:00:00,3.0,6.0,12.0,40.0,400.0,52.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Dongsi
2013-03-01 08:00:00,3.0,6.0,12.0,41.0,500.0,54.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Dongsi
2013-03-01 09:00:00,3.0,6.0,9.0,31.0,400.0,69.0,0.4,1030.5,-23.3,0.0,N,5.5,Dongsi
2013-03-01 10:00:00,3.0,6.0,7.0,19.0,300.0,82.0,1.4,1030.2,-22.5,0.0,N,5.2,Dongsi
2013-03-01 11:00:00,6.0,6.0,7.0,19.0,400.0,83.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Dongsi
2013-03-01 12:00:00,3.0,6.0,6.0,18.0,300.0,86.0,4.0,1028.6,-21.2,0.0,W,4.6,Dongsi
2013-03-01 13:00:00,3.0,6.0,5.0,16.0,300.0,91.0,5.0,1027.8,-21.2,0.0,NW,4.5,Dongsi
2013-03-01 14:00:00,3.0,6.0,5.0,16.0,300.0,92.0,6.2,1027.6,-22.2,0.0,NW,4.0,Dongsi
2013-03-01 15:00:00,3.0,10.0,5.0,17.0,300.0,92.0,6.0,1027.7,-21.3,0.0,NNW,2.1,Dongsi
2013-03-01 16:00:00,9.0,17.0,6.0,19.0,300.0,91.0,5.6,1027.7,-20.7,0.0,N,1.8,Dongsi
2013-03-01 17:00:00,9.0,22.0,9.0,21.0,400.0,87.0,4.4,1028.2,-20.9,0.0,N,3.5,Dongsi
2013-03-01 18:00:00,11.0,23.0,8.0,28.0,400.0,79.0,3.2,1029.4,-20.3,0.0,NNW,0.5,Dongsi
2013-03-01 19:00:00,13.0,17.0,12.0,42.0,600.0,63.0,3.0,1030.1,-19.7,0.0,N,1.1,Dongsi
2013-03-01 20:00:00,5.0,13.0,9.0,38.0,500.0,64.0,1.6,1031.3,-19.0,0.0,ENE,1.2,Dongsi
2013-03-01 21:00:00,15.0,17.0,13.0,51.0,600.0,48.0,0.8,1032.4,-19.7,0.0,NE,1.0,Dongsi
2013-03-01 22:00:00,19.0,21.0,17.0,60.0,700.0,36.0,0.1,1032.9,-19.2,0.0,ENE,1.8,Dongsi
2013-03-01 23:00:00,8.0,14.0,16.0,58.0,600.0,39.0,-0.5,1032.8,-19.7,0.0,NE,2.1,Dongsi
2013-03-02 00:00:00,4.0,11.0,11.0,45.0,500.0,52.0,-0.7,1033.0,-18.3,0.0,E,0.6,Dongsi
2013-03-02 01:00:00,3.0,6.0,11.0,43.0,500.0,53.0,-1.6,1033.2,-17.4,0.0,ENE,0.0,Dongsi
2013-03-02 02:00:00,3.0,6.0,10.0,36.0,400.0,61.0,-2.2,1032.9,-16.7,0.0,N,0.0,Dongsi
2013-03-02 03:00:00,3.0,6.0,11.0,41.0,500.0,46.0,-3.1,1032.6,-15.8,0.0,N,0.0,Dongsi
2013-03-02 04:00:00,3.0,6.0,9.0,31.0,400.0,60.0,-3.1,1032.7,-16.1,0.0,N,0.0,Dongsi
2013-03-02 05:00:00,9.0,9.0,10.0,32.0,500.0,62.0,-2.4,1032.1,-18.1,0.0,NNE,0.8,Dongsi
2013-03-02 06:00:00,3.0,6.0,15.0,59.0,600.0,30.0,-2.3,1031.3,-18.4,0.0,N,1.5,Dongsi
2013-03-02 07:00:00,13.0,13.0,14.0,45.0,600.0,47.0,-1.9,1031.9,-18.5,0.0,N,1.4,Dongsi
2013-03-02 08:00:00,3.0,6.0,19.0,48.0,600.0,43.0,-0.9,1031.7,-18.0,0.0,NNE,1.6,Dongsi
2013-03-02 09:00:00,3.0,6.0,24.0,49.0,500.0,44.0,0.1,1031.7,-18.1,0.0,NE,0.5,Dongsi
2013-03-02 10:00:00,3.0,7.0,24.0,55.0,600.0,36.0,1.5,1031.2,-18.0,0.0,ENE,0.6,Dongsi
2013-03-02 11:00:00,4.0,14.0,18.0,54.0,700.0,34.0,2.6,1030.2,-18.2,0.0,SW,3.1,Dongsi
2013-03-02 12:00:00,17.0,22.0,18.0,61.0,1100.0,32.0,3.8,1029.0,-17.8,0.0,SSW,1.1,Dongsi
2013-03-02 13:00:00,23.0,29.0,19.0,54.0,800.0,39.0,3.8,1027.6,-17.8,0.0,S,1.0,Dongsi
2013-03-02 14:00:00,32.0,34.0,18.0,48.0,700.0,47.0,3.9,1026.8,-18.3,0.0,SSW,0.4,Dongsi
2013-03-02 15:00:00,35.0,37.0,25.0,49.0,900.0,49.0,4.3,1026.2,-18.0,0.0,SSW,1.5,Dongsi
2013-03-02 16:00:00,42.0,52.0,43.0,60.0,1300.0,41.0,4.1,1025.4,-16.9,0.0,SSW,1.9,Dongsi
2013-03-02 17:00:00,54.0,69.0,41.0,62.0,1100.0,40.0,3.2,1025.3,-16.0,0.0,WSW,1.3,Dongsi
2013-03-02 18:00:00,56.0,82.0,43.0,63.0,1100.0,37.0,2.2,1025.4,-15.8,0.0,NE,0.4,Dongsi
2013-03-02 19:00:00,63.0,92.0,45.0,72.0,1200.0,27.0,1.6,1025.0,-15.4,0.0,N,0.1,Dongsi
2013-03-02 20:00:00,71.0,98.0,46.0,80.0,1899.0,17.0,0.7,1025.0,-15.3,0.0,N,1.0,Dongsi
2013-03-02 21:00:00,79.0,111.0,61.0,95.0,1800.0,6.0,0.5,1024.8,-15.1,0.0,N,0.2,Dongsi
2013-03-02 22:00:00,98.0,121.0,71.0,112.0,2299.0,2.0,-1.0,1024.2,-14.6,0.0,ENE,0.0,Dongsi
2013-03-02 23:00:00,108.0,131.0,73.0,110.0,2600.0,2.0,-1.3,1023.2,-14.5,0.0,N,0.0,Dongsi
2013-03-03 00:00:00,115.0,141.0,70.0,111.0,2700.0,2.0,-2.2,1022.3,-12.8,0.0,N,0.0,Dongsi
2013-03-03 01:00:00,127.0,152.0,65.0,109.0,2600.0,2.0,-1.8,1021.4,-13.3,0.0,W,0.7,Dongsi
2013-03-03 02:00:00,132.0,151.0,64.0,107.0,2399.0,2.0,-2.4,1020.4,-13.3,0.0,E,1.3,Dongsi
2013-03-03 03:00:00,124.0,133.0,83.0,104.0,2399.0,2.0,-3.3,1019.4,-12.5,0.0,ESE,1.2,Dongsi
2013-03-03 04:00:00,112.0,118.0,92.0,105.0,2399.0,2.0,-4.2,1019.0,-12.6,0.0,E,0.1,Dongsi
2013-03-03 05:00:00,101.0,107.0,74.0,99.0,2299.0,2.0,-5.2,1018.5,-11.6,0.0,NE,0.9,Dongsi
2013-03-03 06:00:00,88.0,105.0,80.0,94.0,2500.0,2.0,-5.4,1018.3,-11.3,0.0,ENE,0.0,Dongsi
2013-03-03 07:00:00,98.0,113.0,82.0,100.0,2899.0,2.0,-3.3,1018.6,-9.8,0.0,N,0.1,Dongsi
