datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,5.0,14.0,4.0,12.0,200.0,85.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Nongzhanguan
2013-03-01 01:00:00,8.0,12.0,6.0,14.0,200.0,84.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Nongzhanguan
2013-03-01 02:00:00,3.0,6.0,5.0,14.0,200.0,83.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,Nongzhanguan
2013-03-01 03:00:00,5.0,5.0,5.0,14.0,200.0,84.0,-1.4,1026.2,-25.5,0.0,N,4.9,Nongzhanguan
2013-03-01 04:00:00,5.0,5.0,6.0,21.0,200.0,77.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,Nongzhanguan
2013-03-01 05:00:00,3.0,3.0,13.0,21.0,300.0,77.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Nongzhanguan
2013-03-01 06:00:00,4.0,4.0,15.0,32.0,300.0,62.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Nongzhanguan
2013-03-01 07:00:00,3.0,7.0,14.0,45.0,400.0,48.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Nongzhanguan
2013-03-01 08:00:00,3.0,6.0,13.0,49.0,400.0,46.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Nongzhanguan
2013-03-01 09:00:00,11.0,14.0,9.0,28.0,400.0,68.0,0.4,1030.5,-23.3,0.0,N,5.5,Nongzhanguan
2013-03-01 10:00:00,3.0,7.0,6.0,20.0,300.0,77.0,1.4,1030.2,-22.5,0.0,N,5.2,Nongzhanguan
2013-03-01 11:00:00,3.0,6.0,6.0,19.0,300.0,81.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Nongzhanguan
2013-03-01 12:00:00,3.0,6.0,4.0,17.0,300.0,86.0,4.0,1028.6,-21.2,0.0,W,4.6,Nongzhanguan
2013-03-01 13:00:00,3.0,6.0,4.0,17.0,300.0,87.0,5.0,1027.8,-21.2,0.0,NW,4.5,Nongzhanguan
2013-03-01 14:00:00,6.0,11.0,4.0,19.0,300.0,86.0,6.2,1027.6,-22.2,0.0,NW,4.0,Nongzhanguan
